SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-2562,680.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-68uf-100v-5-polyester-film-box-type-capacitor-size-small.html,Polyester (Mylar) Capacitors
A-5627,820.0,nF,63V,5%,Tayda Electronics,Radial,th,0.20,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/820nf-0-82uf-63v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4602,820.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/820nf-0-82uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7121,1.0,μF,400V,5%,FARATRONIC,Radial,th,0.39,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-uf-400v-5-polyester-film-box-type-capacitor-faratonic.html,Polyester (Mylar) Capacitors
A-3290,1.0,μF,50V,10%,WIMA,Radial,th,0.49,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-mks2-1uf-50v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-933,1.0,μF,63V,5%,WIMA,Radial,th,0.69,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-mks2-1uf-63v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4755,1.0,μF,63V,5%,ARCOTRONICS/KEMET,Radial,th,0.25,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1uf-63v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-1771,1.0,μF,100V,5%,KEMET,Radial,th,0.36,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1uf-100v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-320,1.0,μF,100V,5%,ARCOTRONICS,Radial,th,0.21,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4168,1.0,μF,100V,5%,WIMA,Radial,th,0.56,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-1uf-100v-5-polyester-film-box-type-capacitor-ammo.html,Polyester (Mylar) Capacitors
A-4164,1.0,μF,100V,10%,WIMA,Radial,th,0.46,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-1uf-100v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4412,1.0,μF,100V,5%,JB Capacitors,Radial,th,0.21,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1uf-100v-5-polyester-film-box-type-capacitor-jfj.html,Polyester (Mylar) Capacitors
A-5568,1.0,μF,400V,10%,AEC,Radial,th,0.39,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-uf-400v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4764,1.0,μF,630V,10%,FARATRONIC,Radial,th,0.30,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1uf-630v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-6940,1.5,μF,63V,5%,KEMET,Radial,th,0.70,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-5uf-1500nf-63v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-6939,1.5,μF,280V,10%,SR CAPACITORS,Radial,th,0.50,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-5uf-1500nf-280v-10-polypropylene-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5569,1.5,μF,450V,5%,AEC,Radial,th,0.40,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-5uf-1500nf-450v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5753,2.2,μF,63V,10%,WIMA,Radial,th,0.90,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-mks2-2-2-uf-63v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5786,2200.0,nF,50V,10%,WIMA,Radial,th,0.99,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-2200nf-2-2-uf-50v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-6500,2200.0,nF,100V,10%,WIMA,Radial,th,1.28,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-2200nf-2-2uf-100v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5695,4.7,μF,50V,10%,WIMA,Radial,th,1.95,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-wima-mks2-4-7-uf-50v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
