SKU,Size,Mounting Style,Category,Manufacturer,Price,Link
A-1349,SOT-89,smt,BJTs,PHILIPS/NXP,0.14,https://www.taydaelectronics.com/t-transistors/bcx53-transistor-pnp-80v-1a-sot-89-bcx53-115.html
A-1350,SOT-89,smt,BJTs,PHILIPS/NXP,0.14,https://www.taydaelectronics.com/t-transistors/bcx54-transistor-npn-45v-1a-sot-89-bcx54-115.html
A-1351,TO-126,th,BJTs,ST/Fairchild,0.21,https://www.taydaelectronics.com/t-transistors/bd136-transistor-pnp-45v-1-5a-to-126-bd13610stu.html
A-1353,TO-126,th,BJTs,ST MICROELECTRONICS,0.29,https://www.taydaelectronics.com/t-transistors/bd139-transistor-npn-80v-1-5a-to-126.html
A-1354,TO-126,th,BJTs,SGS,0.14,https://www.taydaelectronics.com/t-transistors/bd140-transistor-pnp-80v-1-5a-to-126-bd140.html
A-1356,TO-220,th,BJTs,SGS,0.77,https://www.taydaelectronics.com/t-transistors/bd244-transistor-pnp-100v-6a-to-220-3-bd244c.html
A-1357,TO-220,th,BJTs,SGS,1.08,https://www.taydaelectronics.com/t-transistors/bdw93-transistor-npn-100v-12a-to-220-3-bdw93c.html
A-1358,TO-92,th,BJTs,KEC,0.18,https://www.taydaelectronics.com/t-transistors/bf422-transistor-npn-250v-0-05a-to-92-bf422-at.html
A-1361,SOT-223,smt,BJTs,PHILIPS/NXP,0.18,https://www.taydaelectronics.com/t-transistors/bsp19-transistor-npn-350v-0-1a-sot-223-3-bsp19-115.html
A-1362,TO-92,th,BJTs,PHILIPS/NXP,0.12,https://www.taydaelectronics.com/t-transistors/buj100-transistor-npn-400v-1a-to-92-buj100.html
A-1364,TO-220,th,BJTs,SGS,0.24,https://www.taydaelectronics.com/t-transistors/bul128-transistor-npn-400v-4a-to-220-3-bul128.html
A-1368,TO-92,th,BJTs,HITACHI/RENESAS,0.12,https://www.taydaelectronics.com/t-transistors/hit667-transistor-npn-100v-1a-to-92-hit667-eq.html
A-1369,TO-92,th,BJTs,HITACHI,0.07,https://www.taydaelectronics.com/t-transistors/hit8050-transistor-npn-20v-0-7a-to-92-hit8050ctz.html
A-1372,SOT-23,smt,BJTs,KEC,0.02,https://www.taydaelectronics.com/t-transistors/kra101-transistor-pnp-50v-0-1a-sot-23-3-kra101s-rtk.html
A-1378,SOT-23,smt,BJTs,KEC,0.04,https://www.taydaelectronics.com/t-transistors/kra118-transistor-pnp-50v-0-1a-sot-23-3-kra118s-p.html
A-1379,SOT-23,smt,BJTs,KEC,0.06,https://www.taydaelectronics.com/t-transistors/kra226-transistor-pnp-50v-0-8a-sot-23-3-kra226s-rtk.html
A-1382,SOT-23,smt,BJTs,KEC,0.02,https://www.taydaelectronics.com/t-transistors/krc102-transistor-npn-50v-0-1a-sot-23-3-krc102s.html
A-1390,TO-126,th,BJTs,FAIRCHILD,0.17,https://www.taydaelectronics.com/t-transistors/ksb772-transistor-pnp-30v-3a-to-126-ksb772ystu.html
A-1394,TO-92,th,BJTs,FAIRCHILD/KEC,0.03,https://www.taydaelectronics.com/t-transistors/ksc945-transistor-npn-50v-0-15a-to-92-ksc945cgta.html
DEL-A-1396,SOT-89,smt,BJTs,FAIRCHILD,0.24,https://www.taydaelectronics.com/t-transistors/ksd1621-transistor-npn-25v-2a-sot-89-ksd1621-stf.html
A-1397,TO-92,th,BJTs,FAIRCHILD,0.04,https://www.taydaelectronics.com/t-transistors/ksd471-transistor-npn-30v-1a-to-92-ksd471agta.html
A-1399,TO-220,th,BJTs,FAIRCHILD,0.19,https://www.taydaelectronics.com/t-transistors/kse13005-transistor-npn-400v-4a-to-220-3-kse13005tu.html
A-1401,TO-92,th,BJTs,FAIRCHILD,0.08,https://www.taydaelectronics.com/t-transistors/ksp06-transistor-npn-80v-0-5a-to-92-ksp06ta.html
A-1402,TO-92,th,BJTs,FAIRCHILD,0.04,https://www.taydaelectronics.com/t-transistors/ksp10-transistor-npn-25v-0-1a-to-92-ksp10ta.html
A-1403,TO-92,th,BJTs,Fairchild/ON SEMICONDUCTERD,0.15,https://www.taydaelectronics.com/t-transistors/ksp13-transistor-npn-30v-0-5a-to-92-ksp13ta.html
A-1404,TO-92,th,BJTs,FAIRCHILD/ON SEMICONDUCTOR,0.06,https://www.taydaelectronics.com/t-transistors/ksp44-transistor-npn-400v-0-3a-to-92-ksp44ta.html
A-1405,TO-92,th,BJTs,FAIRCHILD,0.06,https://www.taydaelectronics.com/t-transistors/ksp56-transistor-pnp-80v-0-5a-to-92-ksp56ta.html
A-1407,TO-92,th,BJTs,FAIRCHILD,0.08,https://www.taydaelectronics.com/t-transistors/ksp94-transistor-pnp-400v-0-3a-to-92-ksp94ta.html
A-1408,SOT-23,smt,BJTs,FAIRCHILD,0.02,https://www.taydaelectronics.com/t-transistors/ksr1105-transistor-npn-50v-0-1a-sot-23-3-ksr1105-mtf.html
A-1410,SOT-23,smt,BJTs,FAIRCHILD,0.06,https://www.taydaelectronics.com/t-transistors/kst93-transistor-pnp-200v-0-5a-sot-23-kst93mtf.html
A-1413,TO-92,th,BJTs,KEC,0.04,https://www.taydaelectronics.com/t-transistors/kta1266-transistor-pnp-50v-0-15a-to-92-kta1266gr-at-p.html
